table,panel,window,series,field,observed,expected,match
T2,D0,5Y,S&P 500 em BRL (TR),N,61,61,True
T2,D0,10Y,Portfólio A (TR),vol,"22,73","22,73",True
T2,D0,10Y,Portfólio A (TR),dd,"-33,55","-33,55",True
T2,D0,10Y,Portfólio A (TR),sharpe,"0,671","0,671",True
T2,D0,10Y,Portfólio A (TR),sortino,"1,137","1,137",True
T2,D0,10Y,Portfólio A (TR),neg,"34,71","34,71",True
T2,D0,10Y,Portfólio A (TR),worst,"-25,22","-25,22",True
T2,D0,10Y,Portfólio A (TR),best,"24,42","24,42",True
T2,D0,10Y,Portfólio A (TR),N,121,121,True
T2,D0,10Y,Portfólio B (TR),vol,"22,09","22,09",True
T2,D0,10Y,Portfólio B (TR),dd,"-31,23","-31,23",True
T2,D0,10Y,Portfólio B (TR),sharpe,"0,756","0,756",True
T2,D0,10Y,Portfólio B (TR),sortino,"1,214","1,214",True
T2,D0,10Y,Portfólio B (TR),neg,"33,88","33,88",True
T2,D0,10Y,Portfólio B (TR),worst,"-26,31","-26,31",True
T2,D0,10Y,Portfólio B (TR),best,"19,44","19,44",True
T2,D0,10Y,Portfólio B (TR),N,121,121,True
T2,D0,10Y,Portfólio C (TR),vol,"28,18","28,18",True
T2,D0,10Y,Portfólio C (TR),dd,"-37,37","-37,37",True
T2,D0,10Y,Portfólio C (TR),sharpe,"0,641","0,641",True
T2,D0,10Y,Portfólio C (TR),sortino,"1,059","1,059",True
T2,D0,10Y,Portfólio C (TR),neg,"41,32","41,32",True
T2,D0,10Y,Portfólio C (TR),worst,"-30,66","-30,66",True
T2,D0,10Y,Portfólio C (TR),best,"29,55","29,55",True
T2,D0,10Y,Portfólio C (TR),N,121,121,True
T2,D0,10Y,CDI (TR),vol,"1,14","1,14",True
T2,D0,10Y,CDI (TR),dd,"0,00","0,00",True
T2,D0,10Y,CDI (TR),sharpe,"0,000","0,000",True
T2,D0,10Y,CDI (TR),sortino,"0,000","0,000",True
T2,D0,10Y,CDI (TR),neg,"0,00","0,00",True
T2,D0,10Y,CDI (TR),worst,"0,13","0,13",True
T2,D0,10Y,CDI (TR),best,"1,28","1,28",True
T2,D0,10Y,CDI (TR),N,121,121,True
T2,D0,10Y,Ibovespa (TR),vol,"21,70","21,70",True
T2,D0,10Y,Ibovespa (TR),dd,"-36,86","-36,86",True
T2,D0,10Y,Ibovespa (TR),sharpe,"0,404","0,404",True
T2,D0,10Y,Ibovespa (TR),sortino,"0,589","0,589",True
T2,D0,10Y,Ibovespa (TR),neg,"36,36","36,36",True
T2,D0,10Y,Ibovespa (TR),worst,"-29,90","-29,90",True
T2,D0,10Y,Ibovespa (TR),best,"16,97","16,97",True
T2,D0,10Y,Ibovespa (TR),N,121,121,True
T2,D0,10Y,S&P 500 em BRL (PR),vol,"17,31","17,31",True
T2,D0,10Y,S&P 500 em BRL (PR),dd,"-27,13","-27,13",True
T2,D0,10Y,S&P 500 em BRL (PR),sharpe,"0,485","0,485",True
